index,TYPE,YEAR,MONTH,HUNDRED_BLOCK,NEWADDRESS,lat,lon
1115,Commercial Break and Enter,2013,2,38XX MAIN ST,"3800 MAIN ST ,Vancouver, Canada",49.250956,-123.10098
1116,Commercial Break and Enter,2013,2,1XX KEEFER PL,"100 KEEFER PL ,Vancouver, Canada",49.27971,-123.107629
1117,Commercial Break and Enter,2013,2,5XX BEATTY ST,"500 BEATTY ST ,Vancouver, Canada",49.28122,-123.108458
1118,Commercial Break and Enter,2013,2,4XX SE MARINE DR,"400 SE MARINE DR ,Vancouver, Canada",49.210821,-123.097965
1119,Commercial Break and Enter,2013,2,5XX BEATTY ST,"500 BEATTY ST ,Vancouver, Canada",49.28122,-123.108458
1120,Commercial Break and Enter,2013,2,64XX KNIGHT ST,"6400 KNIGHT ST ,Vancouver, Canada",49.226319,-123.077208
1121,Commercial Break and Enter,2013,2,1XX W HASTINGS ST,"100 W HASTINGS ST ,Vancouver, Canada",49.282013,-123.107182
1122,Commercial Break and Enter,2013,2,1XX W HASTINGS ST,"100 W HASTINGS ST ,Vancouver, Canada",49.282013,-123.107182
1123,Commercial Break and Enter,2013,2,4XX RAILWAY ST,"400 RAILWAY ST ,Vancouver, Canada",49.284878,-123.095246
1124,Commercial Break and Enter,2013,2,13XX E KENT N AVE,"1300 E KENT N AVE ,Vancouver, Canada",49.263566,-123.138572
1125,Commercial Break and Enter,2013,2,13XX E KENT N AVE,"1300 E KENT N AVE ,Vancouver, Canada",49.263566,-123.138572
1126,Commercial Break and Enter,2013,2,20XX W 4TH AVE,"2000 W 4TH AVE ,Vancouver, Canada",49.268099,-123.150389
1127,Commercial Break and Enter,2013,2,14XX E KENT N AVE,"1400 E KENT N AVE ,Vancouver, Canada",49.263566,-123.138572
1128,Commercial Break and Enter,2013,2,3XX WATER ST,"300 WATER ST ,Vancouver, Canada",49.284366,-123.108909
1129,Commercial Break and Enter,2013,2,7XX GRANVILLE ST,"700 GRANVILLE ST ,Vancouver, Canada",49.282527,-123.118143
1130,Commercial Break and Enter,2013,2,10XX W BROADWAY AVE,"1000 W BROADWAY AVE ,Vancouver, Canada",49.263335,-123.126721
1131,Commercial Break and Enter,2013,2,10XX W BROADWAY AVE,"1000 W BROADWAY AVE ,Vancouver, Canada",49.263335,-123.126721
1132,Commercial Break and Enter,2013,2,20XX W BROADWAY AVE,"2000 W BROADWAY AVE ,Vancouver, Canada",49.263793,-123.150576
1133,Commercial Break and Enter,2013,2,36XX GRANDVIEW HWY,"3600 GRANDVIEW HWY ,Vancouver, Canada",49.258105,-123.026316
1134,Commercial Break and Enter,2013,2,10XX SE MARINE DR,"1000 SE MARINE DR ,Vancouver, Canada",49.2111,-123.085777
1135,Commercial Break and Enter,2013,2,3XX W CORDOVA ST,"300 W CORDOVA ST ,Vancouver, Canada",49.283691,-123.109409
1136,Commercial Break and Enter,2013,2,11XX MAINLAND ST,"1100 MAINLAND ST ,Vancouver, Canada",49.27557,-123.120605
